epoch,train_loss,test_loss,test_accuracy
1,0.4174,0.2307586967945099,0.9650912996777659
2,0.1435,0.11671096086502075,0.9752953813104189
3,0.0666,0.09827431291341782,0.9736842105263158 
4,0.0396,0.09404603391885757,0.9720730397422127 
5,0.0299,0.09039612114429474,0.9715359828141783 
6,0.0245,0.08513523638248444,0.9752953813104189 
7,0.0175,0.09114860743284225,0.9742212674543501 
8,0.0172,0.0883529856801033,0.9747583243823845 
9,0.0124,0.08997252583503723,0.9747583243823845 
10,0.0165,0.08879561722278595,0.9758324382384532
